"Model","Category","Statistics","word_count","token_count","bleu_1","bleu_2","bleu_3","bleu_4","rouge_l_precision","rouge_l_recall","rouge_l_f1","lexical_diversity","length_ratio","distinct_1","distinct_2","bert_precision","bert_recall","bert_f1"
"DeepSeek","Idea-to-Text","AVG","41.43333333333334","41.43333333333334","0.10622058986482118","0.0443463862820583","0.0201317599012717","0.011228921638679562","0.19106001334015366","0.5711111111111107","0.28592763071984","0.8726894167795267","3.2090342965356733","0.8726894167795267","0.9933718991036063","0.8777925491333004","0.905190589030583","0.8912568052609756"
"","","STDEV.S","1.1590225767142484","1.1590225767142484","0.013032746398414558","0.019074990870621943","0.009039011213259866","0.003664204595932881","0.007097171937653768","0.01181676882021089","0.009367708522200334","0.028936902053931412","0.12175489423228764","0.028936902053931412","0.011480207510246655","0.0011991471504238522","0.003920125915184897","0.0024262502901717543"
"","Interpret","AVG","50.46666666666667","50.46666666666667","0.11717963245442183","0.03329359525505317","0.012296879194794316","0.007073810786334127","0.14020788969681566","0.12462399181408433","0.12766269848488632","0.937551130370084","0.8722195277120597","0.937551130370084","1","0.8448922057946516","0.8646292289098098","0.8545797348022456"
"","","STDEV.S","4.743767841424507","4.743767841424507","0.024261526752913484","0.018118713583772258","0.0057276351880191515","0.00231063767554366","0.010793213979723593","0.01951149689804423","0.012042807859895867","0.02512831303988379","0.08753568303591319","0.02512831303988379","0","0.0017039698530255337","0.0015213851857135126","0.0007253158163564677"
"","Summarise","AVG","15.333333333333334","15.333333333333334","0.0599196939813865","0.03719247438335913","0.022942621537430766","0.011443662327832378","0.7755325153003166","0.23995318195117768","0.36171859851190963","0.985314009661835","0.30021200830014033","0.985314009661835","1","0.911381872495015","0.8776788512865696","0.8941883424917849"
"","","STDEV.S","0.8736894948054101","0.8736894948054101","0.025386177902973997","0.018859112268748906","0.009925967189326099","0.00263893925722081","0.0704178826568734","0.046146487688366766","0.059684624943433136","0.002342870657581239","0.025188978192294043","0.002342870657581239","0","0.011505081042496002","0.011033124473170805","0.011217681131754089"
"","TOTAL","AVG","35.74444444444445","35.74444444444445","0.09443997210020985","0.03827748530682354","0.018457086877832263","0.009915464917615354","0.36893347277909533","0.3118960949587909","0.25843630923887867","0.9318515189371487","1.4604886108492912","0.9318515189371487","0.9977906330345354","0.878022209140989","0.8824995564089875","0.880008294185002"
"","","STDEV.S","15.993679307081837","15.993679307081837","0.032304099010813374","0.016897345397350338","0.008722720585174868","0.003314090120930412","0.3078316315284304","0.2023662550817146","0.10791449114295545","0.05258465124123949","1.3367584598565592","0.05258465124123949","0.006628100896393659","0.029378920435215533","0.018878678330817553","0.019959776733563295"
"Flash","Idea-to-Text","AVG","49.73333333333334","49.73333333333334","0.08864276956404976","0.0306685395205685","0.012815135161304933","0.007961127968881362","0.14145338656950165","0.5026617826617823","0.21957676521229466","0.874410600917411","3.852602949603233","0.874410600917411","1","0.871691199143727","0.9018205642700193","0.8864702125390367"
"","","STDEV.S","1.650252505931544","1.650252505931544","0.008807605453697458","0.00626210785407617","0.001696457050952518","0.0007020036704816765","0.01798150881651054","0.07338687134380986","0.02860284917889792","0.010338491617758691","0.16469968409670535","0.010338491617758691","0","0.0026516527358121265","0.0011596159815720924","0.0009943222069375007"
"","Interpret","AVG","79.10000000000001","79.10000000000001","0.198541851723974","0.051344653824698404","0.022011625416989932","0.011283204501440674","0.17071116214371232","0.2134193611630397","0.182071042730359","0.816101835051605","1.3846707038530133","0.816101835051605","0.9961062345470656","0.8611910839875536","0.878576193253199","0.8696619808673857"
"","","STDEV.S","3.477067730142737","3.477067730142737","0.02067587017294135","0.003050885047977859","0.006656696290471846","0.0031234633561559007","0.02299160583171907","0.020399857545695076","0.017174877409303686","0.007213441437694899","0.13865431892738198","0.007213441437694899","0.003469133377253622","0.003672751877912987","0.00634970439959463","0.00492229450758719"
"","Summarise","AVG","22.133333333333336","22.133333333333336","0.11417700397297924","0.05477928474638333","0.028004874193442567","0.015030265528720098","0.4339575195683976","0.191768525998411","0.2622837345402817","0.954609253017601","0.43703926138355004","0.954609253017601","1","0.9138698061307267","0.8849500318368273","0.8991405526796973"
"","","STDEV.S","2.1385353243127256","2.1385353243127256","0.01763870821798384","0.010958792043646108","0.006198508632030898","0.0018915104858042214","0.07867331728633245","0.042364102446956056","0.05654284200811218","0.012047521556088273","0.009188537739421103","0.012047521556088273","0","0.010058812512640274","0.00841464590981524","0.009195663366417329"
"","TOTAL","AVG","50.32222222222223","50.32222222222223","0.13378720842033434","0.045597492697216746","0.020943878257245814","0.011424865999680713","0.24870735609387054","0.30261655660774434","0.22131051416097844","0.8817072296622057","1.8914376382799327","0.8817072296622057","0.9987020781823551","0.882250696420669","0.888448929786682","0.8850909153620399"
"","","STDEV.S","24.76927420100243","24.76927420100243","0.05181651766107437","0.013028144833617281","0.008081188018827625","0.003582992001932741","0.14568639643601877","0.15651579896125767","0.04780824344520341","0.06085244720940527","1.5308347844927799","0.06085244720940527","0.002607503393652633","0.024768264038380162","0.01167519222960679","0.013836528360375255"
"Gemini","Idea-to-Text","AVG","32","32","0.12797784874446802","0.0482192682778875","0.02640610113312437","0.01566058345346333","0.23424194737462","0.5456898656898653","0.32725152150395603","0.8947844797686937","2.4785858566563967","0.8947844797686937","1","0.8889719764391577","0.9113381783167513","0.8999895493189495"
"","","STDEV.S","0.3999999999999986","0.3999999999999986","0.025345245084000264","0.01332192010305543","0.011537167668566075","0.0042941711306498645","0.02158537786052707","0.04256513231171216","0.02880024979201861","0.020588503634825717","0.07869053921344249","0.020588503634825717","0","0.0041404007655846745","0.005885672778831979","0.004671481527729293"
"","Interpret","AVG","44.333333333333336","44.333333333333336","0.16091360643922734","0.04539957507332217","0.017350949771983468","0.009019101317691154","0.21417019769493736","0.157492908485705","0.17553714689477964","0.8564899254773151","0.7733212070652686","0.8564899254773151","0.9952750092284974","0.8806502223014823","0.8764785309632613","0.8784797847270963"
"","","STDEV.S","2.335237318418265","2.335237318418265","0.01832550521850029","0.010568259339447455","0.0012433070455830173","0.0005517026847099177","0.01956606764604796","0.017227823622933347","0.015302973300582981","0.035489713027315455","0.05493647956041228","0.035489713027315455","0.0047623339750080245","0.004170427138246775","0.006401024892957094","0.00460897404818519"
"","Summarise","AVG","22.766666666666666","22.766666666666666","0.16725281656273702","0.10510503446903403","0.06990118754129097","0.05266626677206407","0.48191855208102297","0.22739654512218332","0.3005168395322257","0.9413603425559943","0.46565410733988033","0.9413603425559943","0.994191919191919","0.9259542942047118","0.892110500733057","0.908674373229344"
"","","STDEV.S","0.7571877794400382","0.7571877794400382","0.06863744541625628","0.06533817236942357","0.0638141064600595","0.057810856129329215","0.08125814402532623","0.07503967309095677","0.08264505361902527","0.018260506256521473","0.06241853555505414","0.018260506256521473","0.010059891054061982","0.011387145191499812","0.012261803965870755","0.011838950023541461"
"","TOTAL","AVG","33.03333333333333","33.03333333333333","0.1520480905821441","0.0662412926067479","0.037886079482132934","0.02578198384773952","0.31011023238352675","0.3101931064325845","0.2677685026436538","0.8975449159340011","1.2391870570205152","0.8975449159340011","0.9964889761401388","0.8985254976484508","0.8933090700043564","0.8957145690917966"
"","","STDEV.S","9.452909604984066","9.452909604984066","0.04190179265757273","0.044616644603112654","0.040541846073646276","0.03542647962850846","0.13617041159538698","0.1845173148317533","0.0830207796203447","0.043116812528176826","0.9407904508618736","0.043116812528176826","0.0061744927960677995","0.02184550086261485","0.01688634536478498","0.015067604123470175"
"Qwen","Idea-to-Text","AVG","42.9","42.9","0.15583079056832397","0.0759672463012276","0.03728537664127267","0.01949807059789437","0.22331066937980035","0.655177045177045","0.32933407368734763","0.8917556758077837","3.309784657218593","0.8917556758077837","0.9988700564971751","0.8898628612359359","0.929760001103083","0.9093260884284966"
"","","STDEV.S","4.026164427839476","4.026164427839476","0.014780952418617427","0.0185202116432677","0.007621267303364507","0.004553609016917339","0.019768473484279542","0.016669537784875812","0.02597775768613706","0.023419261220737755","0.3202906364984818","0.023419261220737755","0.0019571195565752124","0.004402094408050372","0.005261305254519446","0.004393608660929596"
"","Interpret","AVG","85.23333333333333","85.23333333333333","0.20474328318354065","0.06630789167691549","0.02986584024629227","0.016564390360691367","0.15523570005496767","0.21630650486845268","0.17717992347966935","0.827201337410528","1.4124267004673465","0.827201337410528","0.996626183064091","0.8587997913360589","0.8851157148679091","0.8716737608114874"
"","","STDEV.S","5.877357682950166","5.877357682950166","0.0272429894306819","0.021435582722178426","0.009657335134176902","0.006989294843074797","0.013965035654538856","0.020850680270779038","0.014592800841175278","0.0072623274415595015","0.12150518969531753","0.0072623274415595015","0.0013910850466842864","0.0028683491046475607","0.005531146393759223","0.0024687402813794324"
"","Summarise","AVG","30.26666666666667","30.26666666666667","0.20762396032659","0.13075538346158933","0.07859841185229931","0.0479931179717956","0.4357855745929687","0.2576505936166827","0.32045734161018363","0.9300001844099836","0.5784765767683516","0.9300001844099836","0.998148148148148","0.9189146300156911","0.900047123432159","0.9093608438968653"
"","","STDEV.S","1.604161255402129","1.604161255402129","0.012099171237785714","0.017399462536767902","0.02655343029294401","0.027331227852729158","0.03596122557356255","0.01785078323197246","0.023597206359983403","0.006151756666836564","0.04541146883437123","0.006151756666836564","0.0032075014954981657","0.004789792040615512","0.007396079296489066","0.005756026309452097"
"","TOTAL","AVG","52.8","52.8","0.18939934469281822","0.09101017381324414","0.04858320957995475","0.02801852631012711","0.2714439813425789","0.37637804788739343","0.2756571129257335","0.8829857325427651","1.7668959781514308","0.8829857325427651","0.9978814625698047","0.8891924275292288","0.9049742798010504","0.8967868977122831"
"","","STDEV.S","25.198462254669433","25.198462254669433","0.03020214523127983","0.034385625244487655","0.027040582762417772","0.0207409689704591","0.12857199729926494","0.21047758614481124","0.07636044796023962","0.04673810356752791","1.2244543409261939","0.04673810356752791","0.0022354948608782656","0.02627691322584069","0.020386478850541952","0.01921937773264326"