"Group","Category","Model","word_count","token_count","bleu_1","bleu_2","bleu_3","bleu_4","rouge_l_precision","rouge_l_recall","rouge_l_f1","lexical_diversity","length_ratio","distinct_1","distinct_2","bert_precision","bert_recall","bert_f1"
"A","Idea-to-Text","Qwen","39.4","39.4","0.172502225770691","0.0950027999365762","0.0443462055293967","0.0207496817187627","0.243133890876924","0.674212454212454","0.355952577257968","0.912626854569579","2.99363969134293","0.912626854569579","1","0.894080400466919","0.93560898900032","0.914347392320632"
"B","Idea-to-Text","Qwen","42","42","0.150661141605277","0.0748894939300969","0.0383038342407845","0.0232949856120093","0.223200714665075","0.648131868131868","0.328001271507213","0.896211601425201","3.30164834904654","0.896211601425201","1","0.89021126627922","0.925413066148758","0.907442873716354"
"C","Idea-to-Text","Qwen","47.3","47.3","0.144329004329004","0.0580094450370097","0.0292060901536368","0.0144495444629111","0.203597402597402","0.643186813186813","0.304048372296862","0.866428571428571","3.63406593126631","0.866428571428571","0.996610169491525","0.885296916961669","0.928257948160171","0.906187999248504"
"","","AVG","42.9","42.9","0.15583079056832397","0.0759672463012276","0.03728537664127267","0.01949807059789437","0.22331066937980035","0.655177045177045","0.32933407368734763","0.8917556758077837","3.309784657218593","0.8917556758077837","0.9988700564971751","0.8898628612359359","0.929760001103083","0.9093260884284966"
"","","STDEV.S","4.026164427839476","4.026164427839476","0.014780952418617427","0.0185202116432677","0.007621267303364507","0.004553609016917339","0.019768473484279542","0.016669537784875812","0.02597775768613706","0.023419261220737755","0.3202906364984818","0.023419261220737755","0.0019571195565752124","0.004402094408050372","0.005261305254519446","0.004393608660929596"
"A","Interpret","Qwen","91.9","91.9","0.214696107831342","0.0765091632786195","0.0273030901351585","0.0118806316644474","0.156356104951944","0.236178413603703","0.183211510795222","0.818893283981689","1.51907654545271","0.818893283981689","0.996581196581196","0.857543540000915","0.891502529382705","0.874057608842849"
"B","Interpret","Qwen","80.8","80.8","0.173923371981434","0.0416769012986229","0.021748366659886","0.0132144294299623","0.140744211216391","0.194598494598494","0.160538242612931","0.832342068759626","1.43805029947028","0.832342068759626","0.995258136924803","0.856773900985717","0.881916767358779","0.869128090143203"
"C","Interpret","Qwen","83","83","0.225610369737846","0.0807376104535041","0.0405460639438323","0.0245981099876644","0.168606783996568","0.218142606403161","0.187790017030855","0.830368659490269","1.28015325647905","0.830368659490269","0.998039215686274","0.862081933021545","0.881927847862243","0.87183558344841"
"","","AVG","85.23333333333333","85.23333333333333","0.20474328318354065","0.06630789167691549","0.02986584024629227","0.016564390360691367","0.15523570005496767","0.21630650486845268","0.17717992347966935","0.827201337410528","1.4124267004673465","0.827201337410528","0.996626183064091","0.8587997913360589","0.8851157148679091","0.8716737608114874"
"","","STDEV.S","5.877357682950166","5.877357682950166","0.0272429894306819","0.021435582722178426","0.009657335134176902","0.006989294843074797","0.013965035654538856","0.020850680270779038","0.014592800841175278","0.0072623274415595015","0.12150518969531753","0.0072623274415595015","0.0013910850466842864","0.0028683491046475607","0.005531146393759223","0.0024687402813794324"
"A","Summarise","Qwen","31.8","31.8","0.207845027591367","0.128962713609743","0.078770906989288","0.040347742640009","0.468486027623548","0.25605268316589","0.33023412550269","0.923235770332544","0.528707584833332","0.923235770332544","0.994444444444444","0.922016644477844","0.899108493328094","0.910397279262542"
"B","Summarise","Qwen","28.6","28.6","0.195415770243897","0.114321656423685","0.0519591542022149","0.0252986943137743","0.397271864067966","0.240652485218034","0.293543078045875","0.935260192484402","0.589061174728392","0.935260192484402","1","0.913398116827011","0.893165165185928","0.903157013654708"
"C","Summarise","Qwen","30.4","30.4","0.219611083144506","0.14898178035134","0.105065174365395","0.0783329169616035","0.441598832087392","0.276246612466124","0.337594821281986","0.931504590413005","0.617660970743331","0.931504590413005","1","0.921329128742218","0.907867711782455","0.914528238773346"
"","","AVG","30.26666666666667","30.26666666666667","0.20762396032659","0.13075538346158933","0.07859841185229931","0.0479931179717956","0.4357855745929687","0.2576505936166827","0.32045734161018363","0.9300001844099836","0.5784765767683516","0.9300001844099836","0.998148148148148","0.9189146300156911","0.900047123432159","0.9093608438968653"
"","","STDEV.S","1.604161255402129","1.604161255402129","0.012099171237785714","0.017399462536767902","0.02655343029294401","0.027331227852729158","0.03596122557356255","0.01785078323197246","0.023597206359983403","0.006151756666836564","0.04541146883437123","0.006151756666836564","0.0032075014954981657","0.004789792040615512","0.007396079296489066","0.005756026309452097"
"","","","","","","","","","","","","","","","","","",""
"","","TOTAL","","","","","","","","","","","","","","","",""
"","","AVG","52.8","52.8","0.18939934469281822","0.09101017381324414","0.04858320957995475","0.02801852631012711","0.2714439813425789","0.37637804788739343","0.2756571129257335","0.8829857325427651","1.7668959781514308","0.8829857325427651","0.9978814625698047","0.8891924275292288","0.9049742798010504","0.8967868977122831"
"","","STDEV.S","25.198462254669433","25.198462254669433","0.03020214523127983","0.034385625244487655","0.027040582762417772","0.0207409689704591","0.12857199729926494","0.21047758614481124","0.07636044796023962","0.04673810356752791","1.2244543409261939","0.04673810356752791","0.0022354948608782656","0.02627691322584069","0.020386478850541952","0.01921937773264326"