scope,judge,task_type,criterion,std_beta,n_obs,note
ALL,ALL,ALL,Fluency,0.24073825965226173,1440,
ALL,ALL,ALL,Coherence,0.1976754576002337,1440,
ALL,ALL,ALL,Constructiveness,0.16316535308096258,1440,
ALL,ALL,ALL,Sentiment match,0.145276959210973,1440,
ALL,ALL,ALL,Motivational tone,0.11614593209598041,1440,
ALL,ALL,ALL,Accuracy,-0.027265113688437786,1440,
ALL,ALL,ALL,Conciseness,-0.0916434897252843,1440,
JUDGE,deepseek,ALL,Motivational tone,0.2287045194286344,360,
JUDGE,deepseek,ALL,Coherence,0.21430091530343492,360,
JUDGE,deepseek,ALL,Fluency,0.17381293065015788,360,
JUDGE,deepseek,ALL,Sentiment match,0.04925194820382458,360,
JUDGE,deepseek,ALL,Constructiveness,0.04639733500102523,360,
JUDGE,deepseek,ALL,Accuracy,-0.001977787074856777,360,
JUDGE,deepseek,ALL,Conciseness,-0.13955768767052115,360,
JUDGE,flash,ALL,Fluency,0.23546285606778902,360,
JUDGE,flash,ALL,Constructiveness,0.20370441889511706,360,
JUDGE,flash,ALL,Motivational tone,0.1948627739083061,360,
JUDGE,flash,ALL,Coherence,0.19124291417264427,360,
JUDGE,flash,ALL,Conciseness,0.06956548543179714,360,
JUDGE,flash,ALL,Sentiment match,0.05949163214976344,360,
JUDGE,flash,ALL,Accuracy,-0.02037165412040132,360,
JUDGE,gemini,ALL,Fluency,0.2813945297716697,360,
JUDGE,gemini,ALL,Coherence,0.19729798770245133,360,
JUDGE,gemini,ALL,Sentiment match,0.16935667359207152,360,
JUDGE,gemini,ALL,Motivational tone,0.1008279071942507,360,
JUDGE,gemini,ALL,Constructiveness,0.09938582614723343,360,
JUDGE,gemini,ALL,Accuracy,-0.005204621266037518,360,
JUDGE,gemini,ALL,Conciseness,-0.20469344060335337,360,
JUDGE,qwen,ALL,Constructiveness,0.37045127898840235,360,
JUDGE,qwen,ALL,Fluency,0.2982250694863482,360,
JUDGE,qwen,ALL,Sentiment match,0.29066617198448574,360,
JUDGE,qwen,ALL,Coherence,0.05568742373988393,360,
JUDGE,qwen,ALL,Motivational tone,-0.02552547826784546,360,
JUDGE,qwen,ALL,Conciseness,-0.044303413027942634,360,
JUDGE,qwen,ALL,Accuracy,-0.1256523656467507,360,
JUDGE_TASK,deepseek,Idea-to-Text,Constructiveness,0.11471027523468513,120,
JUDGE_TASK,deepseek,Idea-to-Text,Accuracy,0.10470660914038481,120,
JUDGE_TASK,deepseek,Idea-to-Text,Coherence,0.08422992262577864,120,
JUDGE_TASK,deepseek,Idea-to-Text,Fluency,0.022046643200584873,120,
JUDGE_TASK,deepseek,Idea-to-Text,Conciseness,0.008038265859091415,120,
JUDGE_TASK,deepseek,Idea-to-Text,Motivational tone,-0.012268819574492856,120,
JUDGE_TASK,deepseek,Idea-to-Text,Sentiment match,-0.1904150223622233,120,
JUDGE_TASK,deepseek,Interpretation,Motivational tone,0.3170897233260059,120,
JUDGE_TASK,deepseek,Interpretation,Coherence,0.14623555685272907,120,
JUDGE_TASK,deepseek,Interpretation,Fluency,0.0864541054719338,120,
JUDGE_TASK,deepseek,Interpretation,Sentiment match,0.04620485546547523,120,
JUDGE_TASK,deepseek,Interpretation,Accuracy,-0.17222346102769914,120,
JUDGE_TASK,deepseek,Interpretation,Constructiveness,-0.1988690641247976,120,
JUDGE_TASK,deepseek,Interpretation,Conciseness,-0.4369745535433119,120,
JUDGE_TASK,deepseek,Summarise,Constructiveness,0.39591281213762247,120,
JUDGE_TASK,deepseek,Summarise,Coherence,0.38402277849982724,120,
JUDGE_TASK,deepseek,Summarise,Sentiment match,0.11999059412609467,120,
JUDGE_TASK,deepseek,Summarise,Fluency,0.10152838399828984,120,
JUDGE_TASK,deepseek,Summarise,Accuracy,0.02217018074462143,120,
JUDGE_TASK,deepseek,Summarise,Conciseness,0.008722254381846054,120,
JUDGE_TASK,deepseek,Summarise,Motivational tone,-0.05173364583163964,120,
JUDGE_TASK,flash,Idea-to-Text,Conciseness,0.2569084599381239,120,
JUDGE_TASK,flash,Idea-to-Text,Constructiveness,0.2499212678736934,120,
JUDGE_TASK,flash,Idea-to-Text,Coherence,0.223034846122513,120,
JUDGE_TASK,flash,Idea-to-Text,Motivational tone,0.21873417894465458,120,
JUDGE_TASK,flash,Idea-to-Text,Fluency,0.15877262050039542,120,
JUDGE_TASK,flash,Idea-to-Text,Accuracy,0.14115608405388985,120,
JUDGE_TASK,flash,Idea-to-Text,Sentiment match,0.013827019038089767,120,
JUDGE_TASK,flash,Interpretation,Motivational tone,0.44439543286685523,120,
JUDGE_TASK,flash,Interpretation,Constructiveness,0.2142990817071301,120,
JUDGE_TASK,flash,Interpretation,Conciseness,0.1559306628107634,120,
JUDGE_TASK,flash,Interpretation,Coherence,0.12444664342266801,120,
JUDGE_TASK,flash,Interpretation,Sentiment match,0.11088678561228413,120,
JUDGE_TASK,flash,Interpretation,Fluency,0.09788596289000884,120,
JUDGE_TASK,flash,Interpretation,Accuracy,-0.14529654646619417,120,
JUDGE_TASK,flash,Summarise,Fluency,0.3870868359148706,120,
JUDGE_TASK,flash,Summarise,Coherence,0.2756368125764502,120,
JUDGE_TASK,flash,Summarise,Constructiveness,0.1758981023338864,120,
JUDGE_TASK,flash,Summarise,Accuracy,0.09807180794202319,120,
JUDGE_TASK,flash,Summarise,Motivational tone,0.01057255446962456,120,
JUDGE_TASK,flash,Summarise,Sentiment match,-0.08537620507104178,120,
JUDGE_TASK,flash,Summarise,Conciseness,-0.08810170475457159,120,
JUDGE_TASK,gemini,Idea-to-Text,Constructiveness,0.3372140698326966,120,
JUDGE_TASK,gemini,Idea-to-Text,Fluency,0.22937277049206548,120,
JUDGE_TASK,gemini,Idea-to-Text,Accuracy,0.2113628944046782,120,
JUDGE_TASK,gemini,Idea-to-Text,Sentiment match,0.18545554755077606,120,
JUDGE_TASK,gemini,Idea-to-Text,Coherence,-0.07520647018265104,120,
JUDGE_TASK,gemini,Idea-to-Text,Motivational tone,-0.11175882215073082,120,
JUDGE_TASK,gemini,Idea-to-Text,Conciseness,-0.36708904230721445,120,
JUDGE_TASK,gemini,Interpretation,Motivational tone,0.40565579365239085,120,
JUDGE_TASK,gemini,Interpretation,Coherence,0.37871389202346734,120,
JUDGE_TASK,gemini,Interpretation,Fluency,0.21789708500425958,120,
JUDGE_TASK,gemini,Interpretation,Sentiment match,0.08190687176878533,120,
JUDGE_TASK,gemini,Interpretation,Constructiveness,0.06898089222797299,120,
JUDGE_TASK,gemini,Interpretation,Conciseness,-0.009622304711981472,120,
JUDGE_TASK,gemini,Interpretation,Accuracy,-0.24180614109889045,120,
JUDGE_TASK,gemini,Summarise,Fluency,0.261901263314222,120,
JUDGE_TASK,gemini,Summarise,Coherence,0.23815910585255723,120,
JUDGE_TASK,gemini,Summarise,Constructiveness,0.23562816559077576,120,
JUDGE_TASK,gemini,Summarise,Motivational tone,0.08826424702250113,120,
JUDGE_TASK,gemini,Summarise,Sentiment match,0.02131130341293028,120,
JUDGE_TASK,gemini,Summarise,Conciseness,-0.05504565812353257,120,
JUDGE_TASK,gemini,Summarise,Accuracy,-0.06115577095498917,120,
JUDGE_TASK,qwen,Idea-to-Text,Constructiveness,0.5774918691220353,120,
JUDGE_TASK,qwen,Idea-to-Text,Fluency,0.33194596068305227,120,
JUDGE_TASK,qwen,Idea-to-Text,Accuracy,0.1252027951514573,120,
JUDGE_TASK,qwen,Idea-to-Text,Sentiment match,0.07578548284643667,120,
JUDGE_TASK,qwen,Idea-to-Text,Coherence,-0.05642503186427007,120,
JUDGE_TASK,qwen,Idea-to-Text,Conciseness,-0.06838743615503984,120,
JUDGE_TASK,qwen,Idea-to-Text,Motivational tone,-0.14959237374900083,120,
JUDGE_TASK,qwen,Interpretation,Sentiment match,0.3555192214903098,120,
JUDGE_TASK,qwen,Interpretation,Constructiveness,0.3374502246765879,120,
JUDGE_TASK,qwen,Interpretation,Motivational tone,0.19970655722677907,120,
JUDGE_TASK,qwen,Interpretation,Fluency,0.15073192031798593,120,
JUDGE_TASK,qwen,Interpretation,Coherence,0.12031071147729097,120,
JUDGE_TASK,qwen,Interpretation,Conciseness,0.006256886759396604,120,
JUDGE_TASK,qwen,Interpretation,Accuracy,-0.3517991668419657,120,
JUDGE_TASK,qwen,Summarise,Fluency,0.40137095651366195,120,
JUDGE_TASK,qwen,Summarise,Coherence,0.2563107103281435,120,
JUDGE_TASK,qwen,Summarise,Constructiveness,0.18773975520858743,120,
JUDGE_TASK,qwen,Summarise,Sentiment match,0.14069282428946342,120,
JUDGE_TASK,qwen,Summarise,Conciseness,0.002576569953432681,120,
JUDGE_TASK,qwen,Summarise,Motivational tone,-0.0015841440582901045,120,
JUDGE_TASK,qwen,Summarise,Accuracy,-0.09781575983547268,120,
TASK,ALL,Idea-to-Text,Constructiveness,0.26821569241217186,480,
TASK,ALL,Idea-to-Text,Fluency,0.18536130012156168,480,
TASK,ALL,Idea-to-Text,Accuracy,0.12100751309808727,480,
TASK,ALL,Idea-to-Text,Coherence,0.11155883279516357,480,
TASK,ALL,Idea-to-Text,Sentiment match,0.07651819910035991,480,
TASK,ALL,Idea-to-Text,Motivational tone,-0.027885177813639417,480,
TASK,ALL,Idea-to-Text,Conciseness,-0.048168705423150306,480,
TASK,ALL,Interpretation,Motivational tone,0.40378118505478794,480,
TASK,ALL,Interpretation,Coherence,0.1931269736483947,480,
TASK,ALL,Interpretation,Sentiment match,0.1550252837994231,480,
TASK,ALL,Interpretation,Fluency,0.12741078414680032,480,
TASK,ALL,Interpretation,Constructiveness,0.06690560959310726,480,
TASK,ALL,Interpretation,Conciseness,-0.041233805980429764,480,
TASK,ALL,Interpretation,Accuracy,-0.19548935113961752,480,
TASK,ALL,Summarise,Coherence,0.3294992535295114,480,
TASK,ALL,Summarise,Constructiveness,0.2698300811920255,480,
TASK,ALL,Summarise,Fluency,0.23765803119906553,480,
TASK,ALL,Summarise,Sentiment match,0.05641730984280728,480,
TASK,ALL,Summarise,Motivational tone,0.009097236069802832,480,
TASK,ALL,Summarise,Conciseness,-0.02500850428868275,480,
TASK,ALL,Summarise,Accuracy,-0.03069880045513579,480,
