"task_id","task_type","model_name","evaluator","Fluency","Coherence","Conciseness","Accuracy","Constructiveness","Final","Motivational","Sentiment"
"C16","Interpret","DeepSeek-R1-0528","c3_ISHEb9u8wGeEEEvoGAht","0.666666666666666","0.666666666666666","0","0","1","0.666666666666666","0","0.666666666666666"
"C16","Interpret","Qwen3-235B-A22B-2507","c3_ISHEb9u8wGeEEEvoGAht","0","0","0.333333333333333","","0","0","1","0"
"C16","Interpret","gemini-2.5-flash","c3_ISHEb9u8wGeEEEvoGAht","1","0.333333333333333","0.666666666666666","","0.333333333333333","0.333333333333333","0.333333333333333","0.333333333333333"
"C16","Interpret","gemini-2.5-pro","c3_ISHEb9u8wGeEEEvoGAht","0.333333333333333","1","1","1","0.666666666666666","1","0.666666666666666","1"
"C18","Interpret","DeepSeek-R1-0528","c3_ISHEb9u8wGeEEEvoGAht","0.666666666666666","0.666666666666666","0.333333333333333","","0.666666666666666","0.666666666666666","0.666666666666666","0"
"C18","Interpret","Qwen3-235B-A22B-2507","c3_ISHEb9u8wGeEEEvoGAht","0","0.333333333333333","0.666666666666666","","0.333333333333333","0.333333333333333","0.333333333333333","0.666666666666666"
"C18","Interpret","gemini-2.5-flash","c3_ISHEb9u8wGeEEEvoGAht","1","1","0","1","1","1","1","0.333333333333333"
"C18","Interpret","gemini-2.5-pro","c3_ISHEb9u8wGeEEEvoGAht","0.333333333333333","0","1","","0","0","0","1"
"C2","Idea-to-Text","DeepSeek-R1-0528","c3_ISHEb9u8wGeEEEvoGAht","0.666666666666666","0","0.666666666666666","0.333333333333333","1","1","1","0.666666666666666"
"C2","Idea-to-Text","Qwen3-235B-A22B-2507","c3_ISHEb9u8wGeEEEvoGAht","0.333333333333333","0.333333333333333","0","1","0","0.333333333333333","0","0"
"C2","Idea-to-Text","gemini-2.5-flash","c3_ISHEb9u8wGeEEEvoGAht","0","0.666666666666666","0.333333333333333","0.666666666666666","0.333333333333333","0","0.333333333333333","0.333333333333333"
"C2","Idea-to-Text","gemini-2.5-pro","c3_ISHEb9u8wGeEEEvoGAht","1","1","1","0","0.666666666666666","0.666666666666666","0.666666666666666","1"
"C5","Idea-to-Text","DeepSeek-R1-0528","c3_ISHEb9u8wGeEEEvoGAht","0.333333333333333","1","0.666666666666666","0","0.333333333333333","0.666666666666666","0.666666666666666","1"
"C5","Idea-to-Text","Qwen3-235B-A22B-2507","c3_ISHEb9u8wGeEEEvoGAht","0.666666666666666","0.666666666666666","1","0.666666666666666","1","0","0","0"
"C5","Idea-to-Text","gemini-2.5-flash","c3_ISHEb9u8wGeEEEvoGAht","1","0.333333333333333","0.333333333333333","1","0.666666666666666","1","0.333333333333333","0.333333333333333"
"C5","Idea-to-Text","gemini-2.5-pro","c3_ISHEb9u8wGeEEEvoGAht","0","0","0","0.333333333333333","0","0.333333333333333","1","0.666666666666666"
"C7","Summarise","DeepSeek-R1-0528","c3_ISHEb9u8wGeEEEvoGAht","0.333333333333333","1","1","0","1","0.333333333333333","0","0"
"C7","Summarise","Qwen3-235B-A22B-2507","c3_ISHEb9u8wGeEEEvoGAht","0.666666666666666","0","0","1","0","0.666666666666666","1","1"
"C7","Summarise","gemini-2.5-flash","c3_ISHEb9u8wGeEEEvoGAht","1","0.666666666666666","0.666666666666666","0.5","0.333333333333333","1","0.666666666666666","0.666666666666666"
"C7","Summarise","gemini-2.5-pro","c3_ISHEb9u8wGeEEEvoGAht","0","0.333333333333333","0.333333333333333","","0.666666666666666","0","0.333333333333333","0.333333333333333"
"C9","Summarise","DeepSeek-R1-0528","c3_ISHEb9u8wGeEEEvoGAht","0.666666666666666","1","1","1","0.333333333333333","0.666666666666666","0","0"
"C9","Summarise","Qwen3-235B-A22B-2507","c3_ISHEb9u8wGeEEEvoGAht","0","0","0","","0","0","1","0.333333333333333"
"C9","Summarise","gemini-2.5-flash","c3_ISHEb9u8wGeEEEvoGAht","1","0.333333333333333","0.666666666666666","0","1","1","0.666666666666666","1"
"C9","Summarise","gemini-2.5-pro","c3_ISHEb9u8wGeEEEvoGAht","0.333333333333333","0.666666666666666","0.333333333333333","0.5","0.666666666666666","0.333333333333333","0.333333333333333","0.666666666666666"