scope,evaluator_id,task_type,criterion,spearman_rho,N
ALL,ALL,ALL,Constructiveness,0.5063235051459669,340
ALL,ALL,ALL,Coherence,0.4937699990617225,340
ALL,ALL,ALL,Fluency,0.47011974362375714,340
ALL,ALL,ALL,Sentiment,0.3876429659922932,340
ALL,ALL,ALL,Motivational,0.3827430543197974,340
ALL,ALL,ALL,Accuracy,0.0905840701955867,264
ALL,ALL,ALL,Conciseness,0.052368180097516155,340
EVALUATOR,a1,ALL,Fluency,0.7000000000000002,24
EVALUATOR,a1,ALL,Coherence,0.7000000000000002,24
EVALUATOR,a1,ALL,Motivational,0.5000000000000001,24
EVALUATOR,a1,ALL,Constructiveness,0.46666666666666673,24
EVALUATOR,a1,ALL,Sentiment,0.4,24
EVALUATOR,a1,ALL,Conciseness,0.2,24
EVALUATOR,a1,ALL,Accuracy,0.09169605067183788,21
EVALUATOR,a2,ALL,Fluency,0.5000000000000001,24
EVALUATOR,a2,ALL,Coherence,0.5000000000000001,24
EVALUATOR,a2,ALL,Accuracy,0.4955682511401451,16
EVALUATOR,a2,ALL,Constructiveness,0.30000000000000004,24
EVALUATOR,a2,ALL,Motivational,0.13333333333333336,24
EVALUATOR,a2,ALL,Sentiment,0.13333333333333336,24
EVALUATOR,a2,ALL,Conciseness,-0.23333333333333336,24
EVALUATOR,a3,ALL,Coherence,0.8333333333333335,24
EVALUATOR,a3,ALL,Sentiment,0.7666666666666667,24
EVALUATOR,a3,ALL,Constructiveness,0.7333333333333334,24
EVALUATOR,a3,ALL,Fluency,0.5666666666666669,24
EVALUATOR,a3,ALL,Motivational,0.5000000000000001,24
EVALUATOR,a3,ALL,Accuracy,0.06666666666666668,24
EVALUATOR,a3,ALL,Conciseness,0.0,24
EVALUATOR,a4,ALL,Constructiveness,0.6000000000000001,24
EVALUATOR,a4,ALL,Coherence,0.5666666666666669,24
EVALUATOR,a4,ALL,Motivational,0.5000000000000001,24
EVALUATOR,a4,ALL,Fluency,0.3666666666666667,24
EVALUATOR,a4,ALL,Conciseness,0.23333333333333336,24
EVALUATOR,a4,ALL,Sentiment,0.1666666666666667,24
EVALUATOR,a4,ALL,Accuracy,-0.11412608882697851,14
EVALUATOR,a5,ALL,Sentiment,0.5000000000000001,24
EVALUATOR,a5,ALL,Accuracy,0.3609756067441619,22
EVALUATOR,a5,ALL,Constructiveness,0.3333333333333334,24
EVALUATOR,a5,ALL,Conciseness,0.1,24
EVALUATOR,a5,ALL,Coherence,0.06666666666666668,24
EVALUATOR,a5,ALL,Fluency,0.03333333333333334,24
EVALUATOR,a5,ALL,Motivational,-0.03333333333333334,24
EVALUATOR,b1,ALL,Coherence,0.9000000000000001,24
EVALUATOR,b1,ALL,Fluency,0.8333333333333335,24
EVALUATOR,b1,ALL,Constructiveness,0.8,24
EVALUATOR,b1,ALL,Motivational,0.7000000000000002,24
EVALUATOR,b1,ALL,Sentiment,0.5333333333333334,24
EVALUATOR,b1,ALL,Conciseness,0.0,24
EVALUATOR,b1,ALL,Accuracy,-0.09352760024870505,22
EVALUATOR,b2,ALL,Constructiveness,0.6666666666666669,24
EVALUATOR,b2,ALL,Fluency,0.6333333333333335,24
EVALUATOR,b2,ALL,Coherence,0.5000000000000001,24
EVALUATOR,b2,ALL,Motivational,0.5000000000000001,24
EVALUATOR,b2,ALL,Sentiment,0.3666666666666667,24
EVALUATOR,b2,ALL,Conciseness,0.23333333333333336,24
EVALUATOR,b2,ALL,Accuracy,-0.3552631578947368,16
EVALUATOR,b3,ALL,Constructiveness,0.8333333333333335,24
EVALUATOR,b3,ALL,Coherence,0.7000000000000002,24
EVALUATOR,b3,ALL,Fluency,0.6333333333333335,24
EVALUATOR,b3,ALL,Sentiment,0.1,24
EVALUATOR,b3,ALL,Accuracy,-0.021249857850547442,17
EVALUATOR,b3,ALL,Motivational,-0.1666666666666667,24
EVALUATOR,b3,ALL,Conciseness,-0.4,24
EVALUATOR,b4,ALL,Sentiment,0.6000000000000001,24
EVALUATOR,b4,ALL,Coherence,0.5666666666666669,24
EVALUATOR,b4,ALL,Conciseness,0.5666666666666669,24
EVALUATOR,b4,ALL,Motivational,0.5333333333333334,24
EVALUATOR,b4,ALL,Constructiveness,0.46666666666666673,24
EVALUATOR,b4,ALL,Fluency,0.03333333333333334,24
EVALUATOR,b4,ALL,Accuracy,-0.06278090029174034,18
EVALUATOR,b5,ALL,Fluency,0.8800000000000001,20
EVALUATOR,b5,ALL,Coherence,0.8800000000000001,20
EVALUATOR,b5,ALL,Constructiveness,0.6400000000000001,20
EVALUATOR,b5,ALL,Motivational,0.5200000000000001,20
EVALUATOR,b5,ALL,Sentiment,0.40000000000000013,20
EVALUATOR,b5,ALL,Accuracy,0.16000000000000003,20
EVALUATOR,b5,ALL,Conciseness,-0.40000000000000013,20
EVALUATOR,c1,ALL,Motivational,0.5000000000000001,24
EVALUATOR,c1,ALL,Coherence,0.46666666666666673,24
EVALUATOR,c1,ALL,Conciseness,0.30000000000000004,24
EVALUATOR,c1,ALL,Constructiveness,0.30000000000000004,24
EVALUATOR,c1,ALL,Sentiment,0.23333333333333336,24
EVALUATOR,c1,ALL,Fluency,0.1,24
EVALUATOR,c1,ALL,Accuracy,-0.2755757997308197,19
EVALUATOR,c2,ALL,Conciseness,0.9,8
EVALUATOR,c2,ALL,Motivational,0.8,8
EVALUATOR,c2,ALL,Sentiment,0.8,8
EVALUATOR,c2,ALL,Coherence,0.7000000000000001,8
EVALUATOR,c2,ALL,Fluency,0.30000000000000004,8
EVALUATOR,c2,ALL,Accuracy,0.0,8
EVALUATOR,c2,ALL,Constructiveness,-0.2,8
EVALUATOR,c3,ALL,Fluency,0.7000000000000002,24
EVALUATOR,c3,ALL,Constructiveness,0.43333333333333335,24
EVALUATOR,c3,ALL,Sentiment,0.3666666666666667,24
EVALUATOR,c3,ALL,Coherence,0.3333333333333334,24
EVALUATOR,c3,ALL,Motivational,0.30000000000000004,24
EVALUATOR,c3,ALL,Accuracy,0.09151322409737606,17
EVALUATOR,c3,ALL,Conciseness,0.06666666666666668,24
EVALUATOR,c4,ALL,Constructiveness,0.6666666666666669,24
EVALUATOR,c4,ALL,Motivational,0.5000000000000001,24
EVALUATOR,c4,ALL,Accuracy,0.49029033784546006,16
EVALUATOR,c4,ALL,Sentiment,0.3666666666666667,24
EVALUATOR,c4,ALL,Coherence,0.3333333333333334,24
EVALUATOR,c4,ALL,Conciseness,0.3333333333333334,24
EVALUATOR,c4,ALL,Fluency,0.1,24
EVALUATOR,c5,ALL,Fluency,0.6666666666666669,24
EVALUATOR,c5,ALL,Sentiment,0.5666666666666669,24
EVALUATOR,c5,ALL,Accuracy,0.5214759255517544,14
EVALUATOR,c5,ALL,Motivational,0.2666666666666667,24
EVALUATOR,c5,ALL,Constructiveness,0.2,24
EVALUATOR,c5,ALL,Coherence,-0.2,24
EVALUATOR,c5,ALL,Conciseness,-0.4,24
EVALUATOR_TASK,a1,Idea-to-Text,Fluency,0.8,8
EVALUATOR_TASK,a1,Idea-to-Text,Coherence,0.8,8
EVALUATOR_TASK,a1,Idea-to-Text,Constructiveness,0.8,8
EVALUATOR_TASK,a1,Idea-to-Text,Motivational,0.8,8
EVALUATOR_TASK,a1,Idea-to-Text,Conciseness,0.7000000000000001,8
EVALUATOR_TASK,a1,Idea-to-Text,Sentiment,0.30000000000000004,8
EVALUATOR_TASK,a1,Idea-to-Text,Accuracy,-0.4242424242424242,6
EVALUATOR_TASK,a1,Interpret,Coherence,0.6000000000000001,8
EVALUATOR_TASK,a1,Interpret,Accuracy,0.6000000000000001,8
EVALUATOR_TASK,a1,Interpret,Fluency,0.4,8
EVALUATOR_TASK,a1,Interpret,Motivational,0.4,8
EVALUATOR_TASK,a1,Interpret,Sentiment,0.4,8
EVALUATOR_TASK,a1,Interpret,Conciseness,0.30000000000000004,8
EVALUATOR_TASK,a1,Interpret,Constructiveness,0.2,8
EVALUATOR_TASK,a1,Summarise,Fluency,0.9,8
EVALUATOR_TASK,a1,Summarise,Coherence,0.7000000000000001,8
EVALUATOR_TASK,a1,Summarise,Sentiment,0.5,8
EVALUATOR_TASK,a1,Summarise,Constructiveness,0.4,8
EVALUATOR_TASK,a1,Summarise,Motivational,0.30000000000000004,8
EVALUATOR_TASK,a1,Summarise,Accuracy,0.05607721540920444,7
EVALUATOR_TASK,a1,Summarise,Conciseness,-0.4,8
EVALUATOR_TASK,a2,Idea-to-Text,Accuracy,0.6666666666666666,5
EVALUATOR_TASK,a2,Idea-to-Text,Fluency,0.6000000000000001,8
EVALUATOR_TASK,a2,Idea-to-Text,Coherence,0.1,8
EVALUATOR_TASK,a2,Idea-to-Text,Constructiveness,0.1,8
EVALUATOR_TASK,a2,Idea-to-Text,Sentiment,-0.2,8
EVALUATOR_TASK,a2,Idea-to-Text,Motivational,-0.30000000000000004,8
EVALUATOR_TASK,a2,Idea-to-Text,Conciseness,-0.4,8
EVALUATOR_TASK,a2,Interpret,Sentiment,0.7000000000000001,8
EVALUATOR_TASK,a2,Interpret,Coherence,0.5,8
EVALUATOR_TASK,a2,Interpret,Motivational,0.4,8
EVALUATOR_TASK,a2,Interpret,Constructiveness,0.30000000000000004,8
EVALUATOR_TASK,a2,Interpret,Fluency,0.2,8
EVALUATOR_TASK,a2,Interpret,Conciseness,-0.2,8
EVALUATOR_TASK,a2,Interpret,Accuracy,-0.38888888888888895,4
EVALUATOR_TASK,a2,Summarise,Accuracy,0.9906974722292784,7
EVALUATOR_TASK,a2,Summarise,Coherence,0.9,8
EVALUATOR_TASK,a2,Summarise,Fluency,0.7000000000000001,8
EVALUATOR_TASK,a2,Summarise,Constructiveness,0.5,8
EVALUATOR_TASK,a2,Summarise,Motivational,0.30000000000000004,8
EVALUATOR_TASK,a2,Summarise,Conciseness,-0.1,8
EVALUATOR_TASK,a2,Summarise,Sentiment,-0.1,8
EVALUATOR_TASK,a3,Idea-to-Text,Fluency,1.0,8
EVALUATOR_TASK,a3,Idea-to-Text,Coherence,1.0,8
EVALUATOR_TASK,a3,Idea-to-Text,Sentiment,1.0,8
EVALUATOR_TASK,a3,Idea-to-Text,Constructiveness,0.8,8
EVALUATOR_TASK,a3,Idea-to-Text,Conciseness,0.6000000000000001,8
EVALUATOR_TASK,a3,Idea-to-Text,Motivational,0.1,8
EVALUATOR_TASK,a3,Idea-to-Text,Accuracy,-0.2,8
EVALUATOR_TASK,a3,Interpret,Fluency,0.7000000000000001,8
EVALUATOR_TASK,a3,Interpret,Coherence,0.7000000000000001,8
EVALUATOR_TASK,a3,Interpret,Sentiment,0.6000000000000001,8
EVALUATOR_TASK,a3,Interpret,Accuracy,0.5,8
EVALUATOR_TASK,a3,Interpret,Constructiveness,0.5,8
EVALUATOR_TASK,a3,Interpret,Motivational,0.5,8
EVALUATOR_TASK,a3,Interpret,Conciseness,0.2,8
EVALUATOR_TASK,a3,Summarise,Constructiveness,0.9,8
EVALUATOR_TASK,a3,Summarise,Motivational,0.9,8
EVALUATOR_TASK,a3,Summarise,Coherence,0.8,8
EVALUATOR_TASK,a3,Summarise,Sentiment,0.7000000000000001,8
EVALUATOR_TASK,a3,Summarise,Fluency,0.0,8
EVALUATOR_TASK,a3,Summarise,Accuracy,-0.1,8
EVALUATOR_TASK,a3,Summarise,Conciseness,-0.8,8
EVALUATOR_TASK,a4,Idea-to-Text,Motivational,0.8,8
EVALUATOR_TASK,a4,Idea-to-Text,Coherence,0.5,8
EVALUATOR_TASK,a4,Idea-to-Text,Constructiveness,0.5,8
EVALUATOR_TASK,a4,Idea-to-Text,Conciseness,0.4,8
EVALUATOR_TASK,a4,Idea-to-Text,Sentiment,0.1,8
EVALUATOR_TASK,a4,Idea-to-Text,Fluency,-0.4,8
EVALUATOR_TASK,a4,Idea-to-Text,Accuracy,-0.8660254037844387,3
EVALUATOR_TASK,a4,Interpret,Fluency,0.6000000000000001,8
EVALUATOR_TASK,a4,Interpret,Coherence,0.6000000000000001,8
EVALUATOR_TASK,a4,Interpret,Conciseness,0.5,8
EVALUATOR_TASK,a4,Interpret,Constructiveness,0.4,8
EVALUATOR_TASK,a4,Interpret,Sentiment,0.2,8
EVALUATOR_TASK,a4,Interpret,Accuracy,0.0,5
EVALUATOR_TASK,a4,Interpret,Motivational,-0.2,8
EVALUATOR_TASK,a4,Summarise,Fluency,0.9,8
EVALUATOR_TASK,a4,Summarise,Constructiveness,0.9,8
EVALUATOR_TASK,a4,Summarise,Motivational,0.9,8
EVALUATOR_TASK,a4,Summarise,Coherence,0.6000000000000001,8
EVALUATOR_TASK,a4,Summarise,Sentiment,0.2,8
EVALUATOR_TASK,a4,Summarise,Accuracy,0.030303030303030297,6
EVALUATOR_TASK,a4,Summarise,Conciseness,-0.2,8
EVALUATOR_TASK,a5,Idea-to-Text,Sentiment,0.9,8
EVALUATOR_TASK,a5,Idea-to-Text,Accuracy,0.8,8
EVALUATOR_TASK,a5,Idea-to-Text,Conciseness,0.6000000000000001,8
EVALUATOR_TASK,a5,Idea-to-Text,Coherence,0.4,8
EVALUATOR_TASK,a5,Idea-to-Text,Constructiveness,0.0,8
EVALUATOR_TASK,a5,Idea-to-Text,Fluency,-0.30000000000000004,8
EVALUATOR_TASK,a5,Idea-to-Text,Motivational,-0.6000000000000001,8
EVALUATOR_TASK,a5,Interpret,Constructiveness,0.4,8
EVALUATOR_TASK,a5,Interpret,Conciseness,0.1,8
EVALUATOR_TASK,a5,Interpret,Motivational,0.1,8
EVALUATOR_TASK,a5,Interpret,Accuracy,0.02803860770460222,7
EVALUATOR_TASK,a5,Interpret,Fluency,0.0,8
EVALUATOR_TASK,a5,Interpret,Coherence,-0.2,8
EVALUATOR_TASK,a5,Interpret,Sentiment,-0.30000000000000004,8
EVALUATOR_TASK,a5,Summarise,Sentiment,0.9,8
EVALUATOR_TASK,a5,Summarise,Constructiveness,0.6000000000000001,8
EVALUATOR_TASK,a5,Summarise,Fluency,0.4,8
EVALUATOR_TASK,a5,Summarise,Motivational,0.4,8
EVALUATOR_TASK,a5,Summarise,Accuracy,0.1401930385230111,7
EVALUATOR_TASK,a5,Summarise,Coherence,0.0,8
EVALUATOR_TASK,a5,Summarise,Conciseness,-0.4,8
EVALUATOR_TASK,b1,Idea-to-Text,Fluency,1.0,8
EVALUATOR_TASK,b1,Idea-to-Text,Coherence,1.0,8
EVALUATOR_TASK,b1,Idea-to-Text,Constructiveness,1.0,8
EVALUATOR_TASK,b1,Idea-to-Text,Motivational,0.8,8
