scope,evaluator_id,group,task_type,criterion,spearman_rho,N
ALL,ALL,ALL,ALL,Constructiveness,0.5063235051459669,340
ALL,ALL,ALL,ALL,Coherence,0.4937699990617225,340
ALL,ALL,ALL,ALL,Fluency,0.47011974362375714,340
EVALUATOR,a1,A,ALL,Fluency,0.7000000000000002,24
EVALUATOR,a1,A,ALL,Coherence,0.7000000000000002,24
EVALUATOR,a1,A,ALL,Motivational,0.5000000000000001,24
EVALUATOR,a2,A,ALL,Fluency,0.5000000000000001,24
EVALUATOR,a2,A,ALL,Coherence,0.5000000000000001,24
EVALUATOR,a2,A,ALL,Accuracy,0.4955682511401451,16
EVALUATOR,a3,A,ALL,Coherence,0.8333333333333335,24
EVALUATOR,a3,A,ALL,Sentiment,0.7666666666666667,24
EVALUATOR,a3,A,ALL,Constructiveness,0.7333333333333334,24
EVALUATOR,a4,A,ALL,Constructiveness,0.6000000000000001,24
EVALUATOR,a4,A,ALL,Coherence,0.5666666666666669,24
EVALUATOR,a4,A,ALL,Motivational,0.5000000000000001,24
EVALUATOR,a5,A,ALL,Sentiment,0.5000000000000001,24
EVALUATOR,a5,A,ALL,Accuracy,0.3609756067441619,22
EVALUATOR,a5,A,ALL,Constructiveness,0.3333333333333334,24
EVALUATOR,b1,B,ALL,Coherence,0.9000000000000001,24
EVALUATOR,b1,B,ALL,Fluency,0.8333333333333335,24
EVALUATOR,b1,B,ALL,Constructiveness,0.8,24
EVALUATOR,b2,B,ALL,Constructiveness,0.6666666666666669,24
EVALUATOR,b2,B,ALL,Fluency,0.6333333333333335,24
EVALUATOR,b2,B,ALL,Coherence,0.5000000000000001,24
EVALUATOR,b3,B,ALL,Constructiveness,0.8333333333333335,24
EVALUATOR,b3,B,ALL,Coherence,0.7000000000000002,24
EVALUATOR,b3,B,ALL,Fluency,0.6333333333333335,24
EVALUATOR,b4,B,ALL,Sentiment,0.6000000000000001,24
EVALUATOR,b4,B,ALL,Coherence,0.5666666666666669,24
EVALUATOR,b4,B,ALL,Conciseness,0.5666666666666669,24
EVALUATOR,b5,B,ALL,Fluency,0.8800000000000001,20
EVALUATOR,b5,B,ALL,Coherence,0.8800000000000001,20
EVALUATOR,b5,B,ALL,Constructiveness,0.6400000000000001,20
EVALUATOR,c1,C,ALL,Motivational,0.5000000000000001,24
EVALUATOR,c1,C,ALL,Coherence,0.46666666666666673,24
EVALUATOR,c1,C,ALL,Conciseness,0.30000000000000004,24
EVALUATOR,c2,C,ALL,Conciseness,0.9,8
EVALUATOR,c2,C,ALL,Motivational,0.8,8
EVALUATOR,c2,C,ALL,Sentiment,0.8,8
EVALUATOR,c3,C,ALL,Fluency,0.7000000000000002,24
EVALUATOR,c3,C,ALL,Constructiveness,0.43333333333333335,24
EVALUATOR,c3,C,ALL,Sentiment,0.3666666666666667,24
EVALUATOR,c4,C,ALL,Constructiveness,0.6666666666666669,24
EVALUATOR,c4,C,ALL,Motivational,0.5000000000000001,24
EVALUATOR,c4,C,ALL,Accuracy,0.49029033784546006,16
EVALUATOR,c5,C,ALL,Fluency,0.6666666666666669,24
EVALUATOR,c5,C,ALL,Sentiment,0.5666666666666669,24
EVALUATOR,c5,C,ALL,Accuracy,0.5214759255517544,14
EVALUATOR_TASK,a1,A,Idea-to-Text,Fluency,0.8,8
EVALUATOR_TASK,a1,A,Idea-to-Text,Coherence,0.8,8
EVALUATOR_TASK,a1,A,Idea-to-Text,Constructiveness,0.8,8
EVALUATOR_TASK,a2,A,Idea-to-Text,Accuracy,0.6666666666666666,5
EVALUATOR_TASK,a2,A,Idea-to-Text,Fluency,0.6000000000000001,8
EVALUATOR_TASK,a2,A,Idea-to-Text,Coherence,0.1,8
EVALUATOR_TASK,a3,A,Idea-to-Text,Fluency,1.0,8
EVALUATOR_TASK,a3,A,Idea-to-Text,Coherence,1.0,8
EVALUATOR_TASK,a3,A,Idea-to-Text,Sentiment,1.0,8
EVALUATOR_TASK,a4,A,Idea-to-Text,Motivational,0.8,8
EVALUATOR_TASK,a4,A,Idea-to-Text,Coherence,0.5,8
EVALUATOR_TASK,a4,A,Idea-to-Text,Constructiveness,0.5,8
EVALUATOR_TASK,a5,A,Idea-to-Text,Sentiment,0.9,8
EVALUATOR_TASK,a5,A,Idea-to-Text,Accuracy,0.8,8
EVALUATOR_TASK,a5,A,Idea-to-Text,Conciseness,0.6000000000000001,8
EVALUATOR_TASK,a1,A,Interpret,Coherence,0.6000000000000001,8
EVALUATOR_TASK,a1,A,Interpret,Accuracy,0.6000000000000001,8
EVALUATOR_TASK,a1,A,Interpret,Fluency,0.4,8
EVALUATOR_TASK,a2,A,Interpret,Sentiment,0.7000000000000001,8
EVALUATOR_TASK,a2,A,Interpret,Coherence,0.5,8
EVALUATOR_TASK,a2,A,Interpret,Motivational,0.4,8
EVALUATOR_TASK,a3,A,Interpret,Fluency,0.7000000000000001,8
EVALUATOR_TASK,a3,A,Interpret,Coherence,0.7000000000000001,8
EVALUATOR_TASK,a3,A,Interpret,Sentiment,0.6000000000000001,8
EVALUATOR_TASK,a4,A,Interpret,Fluency,0.6000000000000001,8
EVALUATOR_TASK,a4,A,Interpret,Coherence,0.6000000000000001,8
EVALUATOR_TASK,a4,A,Interpret,Conciseness,0.5,8
EVALUATOR_TASK,a5,A,Interpret,Constructiveness,0.4,8
EVALUATOR_TASK,a5,A,Interpret,Conciseness,0.1,8
EVALUATOR_TASK,a5,A,Interpret,Motivational,0.1,8
EVALUATOR_TASK,a1,A,Summarise,Fluency,0.9,8
EVALUATOR_TASK,a1,A,Summarise,Coherence,0.7000000000000001,8
EVALUATOR_TASK,a1,A,Summarise,Sentiment,0.5,8
EVALUATOR_TASK,a2,A,Summarise,Accuracy,0.9906974722292784,7
EVALUATOR_TASK,a2,A,Summarise,Coherence,0.9,8
EVALUATOR_TASK,a2,A,Summarise,Fluency,0.7000000000000001,8
EVALUATOR_TASK,a3,A,Summarise,Constructiveness,0.9,8
EVALUATOR_TASK,a3,A,Summarise,Motivational,0.9,8
EVALUATOR_TASK,a3,A,Summarise,Coherence,0.8,8
EVALUATOR_TASK,a4,A,Summarise,Fluency,0.9,8
EVALUATOR_TASK,a4,A,Summarise,Constructiveness,0.9,8
EVALUATOR_TASK,a4,A,Summarise,Motivational,0.9,8
EVALUATOR_TASK,a5,A,Summarise,Sentiment,0.9,8
EVALUATOR_TASK,a5,A,Summarise,Constructiveness,0.6000000000000001,8
EVALUATOR_TASK,a5,A,Summarise,Fluency,0.4,8
EVALUATOR_TASK,b1,B,Idea-to-Text,Fluency,1.0,8
EVALUATOR_TASK,b1,B,Idea-to-Text,Coherence,1.0,8
EVALUATOR_TASK,b1,B,Idea-to-Text,Constructiveness,1.0,8
EVALUATOR_TASK,b2,B,Idea-to-Text,Fluency,0.9,8
EVALUATOR_TASK,b2,B,Idea-to-Text,Constructiveness,0.9,8
EVALUATOR_TASK,b2,B,Idea-to-Text,Motivational,0.8,8
EVALUATOR_TASK,b3,B,Idea-to-Text,Constructiveness,0.9,8
EVALUATOR_TASK,b3,B,Idea-to-Text,Coherence,0.7000000000000001,8
EVALUATOR_TASK,b3,B,Idea-to-Text,Fluency,0.5,8
EVALUATOR_TASK,b4,B,Idea-to-Text,Accuracy,1.0,4
EVALUATOR_TASK,b4,B,Idea-to-Text,Motivational,1.0,8
EVALUATOR_TASK,b4,B,Idea-to-Text,Sentiment,1.0,8
EVALUATOR_TASK,b5,B,Idea-to-Text,Fluency,0.9,8
EVALUATOR_TASK,b5,B,Idea-to-Text,Coherence,0.8,8
EVALUATOR_TASK,b5,B,Idea-to-Text,Constructiveness,0.8,8
EVALUATOR_TASK,b1,B,Interpret,Coherence,0.8,8
EVALUATOR_TASK,b1,B,Interpret,Sentiment,0.8,8
EVALUATOR_TASK,b1,B,Interpret,Motivational,0.7000000000000001,8
EVALUATOR_TASK,b2,B,Interpret,Motivational,1.0,8
EVALUATOR_TASK,b2,B,Interpret,Fluency,0.8,8
EVALUATOR_TASK,b2,B,Interpret,Constructiveness,0.8,8
EVALUATOR_TASK,b3,B,Interpret,Fluency,0.8,8
EVALUATOR_TASK,b3,B,Interpret,Constructiveness,0.8,8
EVALUATOR_TASK,b3,B,Interpret,Coherence,0.7000000000000001,8
EVALUATOR_TASK,b4,B,Interpret,Coherence,0.7000000000000001,8
EVALUATOR_TASK,b4,B,Interpret,Conciseness,0.7000000000000001,8
EVALUATOR_TASK,b4,B,Interpret,Constructiveness,0.7000000000000001,8
EVALUATOR_TASK,b5,B,Interpret,Fluency,0.9,8
EVALUATOR_TASK,b5,B,Interpret,Coherence,0.9,8
EVALUATOR_TASK,b5,B,Interpret,Motivational,0.9,8
EVALUATOR_TASK,b1,B,Summarise,Fluency,0.9,8
EVALUATOR_TASK,b1,B,Summarise,Coherence,0.9,8
EVALUATOR_TASK,b1,B,Summarise,Constructiveness,0.9,8
EVALUATOR_TASK,b2,B,Summarise,Coherence,0.6000000000000001,8
EVALUATOR_TASK,b2,B,Summarise,Constructiveness,0.30000000000000004,8
EVALUATOR_TASK,b2,B,Summarise,Fluency,0.2,8
EVALUATOR_TASK,b3,B,Summarise,Constructiveness,0.8,8
EVALUATOR_TASK,b3,B,Summarise,Coherence,0.7000000000000001,8
EVALUATOR_TASK,b3,B,Summarise,Fluency,0.6000000000000001,8
EVALUATOR_TASK,b4,B,Summarise,Fluency,0.30000000000000004,8
EVALUATOR_TASK,b4,B,Summarise,Conciseness,0.30000000000000004,8
EVALUATOR_TASK,b4,B,Summarise,Coherence,0.2,8
EVALUATOR_TASK,b5,B,Summarise,Coherence,1.0,4
EVALUATOR_TASK,b5,B,Summarise,Motivational,1.0,4
EVALUATOR_TASK,b5,B,Summarise,Fluency,0.7999999999999999,4
EVALUATOR_TASK,c1,C,Idea-to-Text,Coherence,0.7000000000000001,8
EVALUATOR_TASK,c1,C,Idea-to-Text,Conciseness,0.6000000000000001,8
EVALUATOR_TASK,c1,C,Idea-to-Text,Motivational,0.6000000000000001,8
EVALUATOR_TASK,c3,C,Idea-to-Text,Fluency,0.6000000000000001,8
EVALUATOR_TASK,c3,C,Idea-to-Text,Motivational,0.5,8
EVALUATOR_TASK,c3,C,Idea-to-Text,Sentiment,0.5,8
EVALUATOR_TASK,c4,C,Idea-to-Text,Accuracy,1.0,5
EVALUATOR_TASK,c4,C,Idea-to-Text,Coherence,0.9,8
EVALUATOR_TASK,c4,C,Idea-to-Text,Constructiveness,0.9,8
EVALUATOR_TASK,c5,C,Idea-to-Text,Accuracy,1.0,3
EVALUATOR_TASK,c5,C,Idea-to-Text,Fluency,0.8,8
EVALUATOR_TASK,c5,C,Idea-to-Text,Constructiveness,0.8,8
EVALUATOR_TASK,c1,C,Interpret,Accuracy,0.5000000000000001,4
EVALUATOR_TASK,c1,C,Interpret,Constructiveness,0.5,8
EVALUATOR_TASK,c1,C,Interpret,Motivational,0.5,8
EVALUATOR_TASK,c2,C,Interpret,Conciseness,0.9,8
EVALUATOR_TASK,c2,C,Interpret,Motivational,0.8,8
EVALUATOR_TASK,c2,C,Interpret,Sentiment,0.8,8
EVALUATOR_TASK,c3,C,Interpret,Coherence,1.0,8
EVALUATOR_TASK,c3,C,Interpret,Accuracy,1.0,3
EVALUATOR_TASK,c3,C,Interpret,Constructiveness,0.9,8
EVALUATOR_TASK,c4,C,Interpret,Constructiveness,0.6000000000000001,8
EVALUATOR_TASK,c4,C,Interpret,Motivational,0.6000000000000001,8
EVALUATOR_TASK,c4,C,Interpret,Conciseness,0.30000000000000004,8
EVALUATOR_TASK,c5,C,Interpret,Accuracy,0.5000000000000001,5
EVALUATOR_TASK,c5,C,Interpret,Fluency,0.2,8
EVALUATOR_TASK,c5,C,Interpret,Motivational,0.2,8
EVALUATOR_TASK,c1,C,Summarise,Constructiveness,1.0,8
EVALUATOR_TASK,c1,C,Summarise,Conciseness,0.8,8
EVALUATOR_TASK,c1,C,Summarise,Coherence,0.6000000000000001,8
EVALUATOR_TASK,c3,C,Summarise,Fluency,1.0,8
EVALUATOR_TASK,c3,C,Summarise,Sentiment,0.5,8
EVALUATOR_TASK,c3,C,Summarise,Conciseness,0.4,8
EVALUATOR_TASK,c4,C,Summarise,Accuracy,0.5539117094069972,6
EVALUATOR_TASK,c4,C,Summarise,Constructiveness,0.5,8
EVALUATOR_TASK,c4,C,Summarise,Motivational,0.5,8
EVALUATOR_TASK,c5,C,Summarise,Fluency,1.0,8
EVALUATOR_TASK,c5,C,Summarise,Sentiment,0.7000000000000001,8
EVALUATOR_TASK,c5,C,Summarise,Motivational,0.5,8
GROUP,ALL,A,ALL,Coherence,0.5333333333333333,120
GROUP,ALL,A,ALL,Constructiveness,0.48666666666666664,120
GROUP,ALL,A,ALL,Fluency,0.43333333333333335,120
GROUP,ALL,B,ALL,Coherence,0.703448275862069,116
GROUP,ALL,B,ALL,Constructiveness,0.6827586206896552,116
GROUP,ALL,B,ALL,Fluency,0.5931034482758621,116
GROUP,ALL,C,ALL,Motivational,0.4061046511627907,104
GROUP,ALL,C,ALL,Fluency,0.3825022361359571,104
GROUP,ALL,C,ALL,Sentiment,0.3806686046511628,104
GROUP_TASK,ALL,A,Idea-to-Text,Coherence,0.5599999999999999,40
GROUP_TASK,ALL,A,Idea-to-Text,Constructiveness,0.44,40
GROUP_TASK,ALL,A,Idea-to-Text,Sentiment,0.41999999999999993,40
GROUP_TASK,ALL,A,Interpret,Coherence,0.44,40
GROUP_TASK,ALL,A,Interpret,Fluency,0.37999999999999995,40
GROUP_TASK,ALL,A,Interpret,Constructiveness,0.35999999999999993,40
GROUP_TASK,ALL,A,Summarise,Constructiveness,0.6599999999999999,40
GROUP_TASK,ALL,A,Summarise,Coherence,0.5999999999999999,40
GROUP_TASK,ALL,A,Summarise,Fluency,0.5799999999999998,40
GROUP_TASK,ALL,B,Idea-to-Text,Constructiveness,0.8599999999999999,40
GROUP_TASK,ALL,B,Idea-to-Text,Coherence,0.7799999999999999,40
GROUP_TASK,ALL,B,Idea-to-Text,Fluency,0.6399999999999999,40
GROUP_TASK,ALL,B,Interpret,Motivational,0.7199999999999999,40
GROUP_TASK,ALL,B,Interpret,Coherence,0.6799999999999999,40
GROUP_TASK,ALL,B,Interpret,Constructiveness,0.6799999999999999,40
GROUP_TASK,ALL,B,Summarise,Coherence,0.6444444444444446,36
GROUP_TASK,ALL,B,Summarise,Fluency,0.5333333333333334,36
GROUP_TASK,ALL,B,Summarise,Constructiveness,0.488888888888889,36
GROUP_TASK,ALL,C,Idea-to-Text,Sentiment,0.5080521472392638,32
GROUP_TASK,ALL,C,Idea-to-Text,Coherence,0.437116564417178,32
GROUP_TASK,ALL,C,Idea-to-Text,Constructiveness,0.4148773006134969,32
GROUP_TASK,ALL,C,Interpret,Motivational,0.48149606299212605,40
GROUP_TASK,ALL,C,Interpret,Coherence,0.26968503937007876,40
GROUP_TASK,ALL,C,Interpret,Accuracy,0.21546437552259437,25
GROUP_TASK,ALL,C,Summarise,Fluency,0.6859662576687118,32
GROUP_TASK,ALL,C,Summarise,Sentiment,0.5433282208588958,32
GROUP_TASK,ALL,C,Summarise,Constructiveness,0.4359662576687117,32
TASK,ALL,ALL,Idea-to-Text,Coherence,0.5924082253276373,112
TASK,ALL,ALL,Idea-to-Text,Constructiveness,0.5797190645137933,112
TASK,ALL,ALL,Idea-to-Text,Sentiment,0.4618148577221055,112
TASK,ALL,ALL,Interpret,Motivational,0.487963780918728,120
TASK,ALL,ALL,Interpret,Coherence,0.4573395170789164,120
TASK,ALL,ALL,Interpret,Constructiveness,0.41540783274440524,120
TASK,ALL,ALL,Summarise,Fluency,0.595499041275608,108
TASK,ALL,ALL,Summarise,Constructiveness,0.5312796447673831,108
TASK,ALL,ALL,Summarise,Coherence,0.432016348773842,108
