Candidate,Criteria,,DeepSeek,Flash,Gemini,Qwen,AVERAGE
Qwen,Idea-to-Text,Fluency,0.5777777778,0.7,0.5777777778,0.7888888889,0.6611111111
,,Coherence,0.5222222222,0.5888888889,0.5444444444,0.5333333333,0.5472222222
,,Conciseness,0.4111111111,0.3111111111,0.4888888889,0.4555555556,0.4166666667
,,Accuracy,0.8,0.9333333333,0.9666666667,1,0.925
,,Constructiveness,0.2888888889,0.3888888889,0.2333333333,0.4777777778,0.3472222222
,,Motivational tone,0.1555555556,0.2777777778,0.1222222222,0.2222222222,0.1944444445
,,Sentiment match,0.6555555556,0.7111111111,0.9555555556,0.9222222222,0.8111111111
,,Final choice,0.5111111111,0.5666666667,0.7,0.7111111111,0.6222222222
,,AVERAGE,0.4902777778,0.5597222222,0.5736111111,0.6388888889,0.565625
,Interpret,Fluency,0.7666666667,0.8666666667,0.8777777778,0.9222222222,0.8583333334
,,Coherence,0.8333333333,0.8888888889,0.8555555556,0.9777777778,0.8888888889
,,Conciseness,0.08888888889,0.08888888889,0.1555555556,0.2555555556,0.1472222222
,,Accuracy,0.2055555556,0,0.07777777778,0.6444444444,0.2319444444
,,Constructiveness,0.6555555556,0.8333333333,0.7555555556,0.8333333333,0.7694444445
,,Motivational tone,0.8666666667,0.9111111111,0.8666666667,0.9555555556,0.9
,,Sentiment match,0.4444444444,0.5333333333,0.6777777778,0.9222222222,0.6444444444
,,Final choice,0.9333333333,0.8777777778,0.9666666667,0.9777777778,0.9388888889
,,AVERAGE,0.5993055556,0.625,0.6541666667,0.8111111111,0.6723958333
,Summary,Fluency,0.7333333333,0.7222222222,0.7666666667,0.9555555556,0.7944444445
,,Coherence,0.9777777778,0.9888888889,0.9444444444,0.9555555556,0.9666666667
,,Conciseness,0.4222222222,0.2555555556,0.1666666667,0.3222222222,0.2916666667
,,Accuracy,0.4666666667,0.5,0.5,0.5,0.4916666667
,,Constructiveness,1,0.9222222222,0.9777777778,0.9555555556,0.9638888889
,,Motivational tone,0.8333333333,0.8444444444,0.8777777778,0.7888888889,0.8361111111
,,Sentiment match,0.6333333333,0.7777777778,0.6888888889,0.9111111111,0.7527777778
,,Final choice,0.8777777778,0.7444444444,0.7777777778,0.9222222222,0.8305555556
,,AVERAGE,0.7430555556,0.7194444444,0.7125,0.7888888889,0.7409722222
Flash,Idea-to-Text,Fluency,0.4333333333,0.5888888889,0.6666666667,0.6888888889,0.5944444445
,,Coherence,0.4333333333,0.4888888889,0.7111111111,0.6222222222,0.5638888889
,,Conciseness,0.2222222222,0.3555555556,0.1,0.5,0.2944444445
,,Accuracy,0.07222222222,0.05555555556,0.07222222222,0.4111111111,0.1527777778
,,Constructiveness,0.4777777778,0.5333333333,0.5555555556,0.4888888889,0.5138888889
,,Motivational tone,0.2888888889,0.3777777778,0.4111111111,0.4222222222,0.375
,,Sentiment match,0.4111111111,0.4111111111,0.5111111111,0.6444444444,0.4944444444
,,Final choice,0.4777777778,0.3555555556,0.7,0.5555555556,0.5222222223
,,AVERAGE,0.3520833333,0.3958333333,0.4659722222,0.5416666667,0.4388888889
,Interpret,Fluency,0.4888888889,0.5,0.3555555556,0.4222222222,0.4416666667
,,Coherence,0.4777777778,0.6444444444,0.4666666667,0.5222222222,0.5277777778
,,Conciseness,0.2888888889,0.3333333333,0.3222222222,0.2111111111,0.2888888889
,,Accuracy,0.5666666667,0.5,0.5,0.5,0.5166666667
,,Constructiveness,0.3444444444,0.3777777778,0.3888888889,0.3555555556,0.3666666667
,,Motivational tone,0.7222222222,0.6888888889,0.6888888889,0.6777777778,0.6944444445
,,Sentiment match,0.6666666667,0.4666666667,0.3777777778,0.3333333333,0.4611111111
,,Final choice,0.6888888889,0.4888888889,0.5222222222,0.3555555556,0.5138888889
,,AVERAGE,0.5305555556,0.5,0.4527777778,0.4222222222,0.4763888889
,Summary,Fluency,0.6111111111,0.6333333333,0.6,0.5777777778,0.6055555556
,,Coherence,0.5888888889,0.5555555556,0.5222222222,0.5666666667,0.5583333334
,,Conciseness,0.4666666667,0.4666666667,0.5333333333,0.3888888889,0.4638888889
,,Accuracy,0.08888888889,0.1,0.1833333333,0.2555555556,0.1569444444
,,Constructiveness,0.5888888889,0.5888888889,0.5333333333,0.5111111111,0.5555555556
,,Motivational tone,0.5555555556,0.4222222222,0.4555555556,0.4777777778,0.4777777778
,,Sentiment match,0.5777777778,0.6444444444,0.5222222222,0.6111111111,0.5888888889
,,Final choice,0.6444444444,0.6777777778,0.7,0.5444444444,0.6416666667
,,AVERAGE,0.5152777778,0.5111111111,0.50625,0.4916666667,0.5060763889
DeepSeek,Idea-to-Text,Fluency,0.6222222222,0.4333333333,0.4444444444,0.4,0.475
,,Coherence,0.7777777778,0.7555555556,0.6777777778,0.6777777778,0.7222222223
,,Conciseness,0.4,0.3888888889,0.4555555556,0.3666666667,0.4027777778
,,Accuracy,0.1666666667,0.07777777778,0.02222222222,0.1333333333,0.1
,,Constructiveness,0.8777777778,0.8444444444,0.8111111111,0.7555555556,0.8222222222
,,Motivational tone,0.8,0.7333333333,0.7555555556,0.8111111111,0.775
,,Sentiment match,0.3666666667,0.5555555556,0.2888888889,0.4,0.4027777778
,,Final choice,0.5666666667,0.6777777778,0.4333333333,0.6111111111,0.5722222222
,,AVERAGE,0.5722222222,0.5583333333,0.4861111111,0.5194444445,0.5340277778
,Interpret,Fluency,0.2333333333,0.1,0.1,0.1666666667,0.15
,,Coherence,0.4555555556,0.2888888889,0.3777777778,0.3888888889,0.3777777778
,,Conciseness,0.7333333333,0.6555555556,0.6666666667,0.7222222222,0.6944444445
,,Accuracy,0.3666666667,0.5,0.5,0.4333333333,0.45
,,Constructiveness,0.7888888889,0.5777777778,0.6777777778,0.7,0.6861111111
,,Motivational tone,0.3222222222,0.1888888889,0.3,0.2333333333,0.2611111111
,,Sentiment match,0.2888888889,0.2444444444,0.2666666667,0.1333333333,0.2333333333
,,Final choice,0.07777777778,0.2444444444,0.1444444444,0.3,0.1916666666
,,AVERAGE,0.4083333333,0.35,0.3791666667,0.3847222222,0.3805555556
,Summary,Fluency,0.01111111111,0.01111111111,0.03333333333,0,0.01388888889
,,Coherence,0.01111111111,0.01111111111,0.05555555556,0,0.01944444445
,,Conciseness,0.4777777778,0.6888888889,0.7333333333,0.6666666667,0.6416666667
,,Accuracy,0.3277777778,0,0.1833333333,0.5277777778,0.2597222222
,,Constructiveness,0.06666666667,0.03333333333,0.08888888889,0.03333333333,0.05555555556
,,Motivational tone,0.1666666667,0.2111111111,0.1555555556,0.2111111111,0.1861111111
,,Sentiment match,0.2555555556,0.05555555556,0.1555555556,0.04444444444,0.1277777778
,,Final choice,0.01111111111,0.04444444444,0.04444444444,0,0.025
,,AVERAGE,0.1659722222,0.1319444444,0.18125,0.1854166667,0.1661458333
Gemini,Idea-to-Text,Fluency,0.3666666667,0.2777777778,0.3111111111,0.1222222222,0.2694444445
,,Coherence,0.2666666667,0.1666666667,0.06666666667,0.1666666667,0.1666666667
,,Conciseness,0.9,0.9444444444,0.9555555556,0.6777777778,0.8694444445
,,Accuracy,0.02777777778,0.1,0.07222222222,0.1555555556,0.0888888889
,,Constructiveness,0.3555555556,0.2333333333,0.4,0.2777777778,0.3166666667
,,Motivational tone,0.7555555556,0.5444444444,0.7111111111,0.5444444444,0.6388888889
,,Sentiment match,0.5666666667,0.3222222222,0.2444444444,0.03333333333,0.2916666667
,,Final choice,0.4444444444,0.4,0.1666666667,0.1222222222,0.2833333333
,,AVERAGE,0.4604166667,0.3736111111,0.3659722222,0.2625,0.365625
,Interpret,Fluency,0.5111111111,0.5333333333,0.6666666667,0.4888888889,0.55
,,Coherence,0.2333333333,0.1777777778,0.3,0.1111111111,0.2055555556
,,Conciseness,0.8888888889,0.9222222222,0.8555555556,0.8111111111,0.8694444445
,,Accuracy,0.06111111111,0,0.1055555556,0.2722222222,0.1097222222
,,Constructiveness,0.2111111111,0.2111111111,0.1777777778,0.1111111111,0.1777777778
,,Motivational tone,0.08888888889,0.2111111111,0.1444444444,0.1333333333,0.1444444444
,,Sentiment match,0.6,0.7555555556,0.6777777778,0.6111111111,0.6611111111
,,Final choice,0.3,0.3888888889,0.3666666667,0.3666666667,0.3555555556
,,AVERAGE,0.3618055556,0.4,0.4118055556,0.3631944444,0.3842013889
,Summary,Fluency,0.6444444444,0.6333333333,0.6,0.4666666667,0.5861111111
,,Coherence,0.4222222222,0.4444444444,0.4777777778,0.4777777778,0.4555555556
,,Conciseness,0.6333333333,0.5888888889,0.5666666667,0.6222222222,0.6027777778
,,Accuracy,0.3666666667,0.5,0.5,0.4666666667,0.4583333334
,,Constructiveness,0.3444444444,0.4555555556,0.4,0.5,0.425
,,Motivational tone,0.4444444444,0.5222222222,0.5111111111,0.5222222222,0.5
,,Sentiment match,0.5333333333,0.5222222222,0.6333333333,0.4333333333,0.5305555555
,,Final choice,0.4666666667,0.5333333333,0.4777777778,0.5333333333,0.5027777778
,,AVERAGE,0.4819444444,0.525,0.5208333333,0.5027777778,0.5076388889