question_id,model_name,n,wins,mean_rank,median_rank,level_2
Q01,Qwen,6,4,1.5,1.0,2
Q01,Qwen,6,4,1.5,1.0,3
Q01,Qwen,6,4,1.5,1.0,4
Q01,Qwen,6,4,1.5,1.0,1
Q01,Flash,6,1,2.3333333333333335,2.5,2
Q01,Flash,6,1,2.3333333333333335,2.5,3
Q01,Flash,6,1,2.3333333333333335,2.5,4
Q01,Flash,6,1,2.3333333333333335,2.5,1
Q01,Gemini,6,1,2.6666666666666665,2.5,2
Q01,Gemini,6,1,2.6666666666666665,2.5,3
Q01,Gemini,6,1,2.6666666666666665,2.5,4
Q01,Gemini,6,1,2.6666666666666665,2.5,1
Q01,DeepSeek,6,0,3.5,4.0,2
Q01,DeepSeek,6,0,3.5,4.0,3
Q01,DeepSeek,6,0,3.5,4.0,4
Q01,DeepSeek,6,0,3.5,4.0,1
Q02,Qwen,6,4,1.5,1.0,2
Q02,Qwen,6,4,1.5,1.0,3
Q02,Qwen,6,4,1.5,1.0,4
Q02,Qwen,6,4,1.5,1.0,1
Q02,Flash,6,1,2.5,2.5,2
Q02,Flash,6,1,2.5,2.5,3
Q02,Flash,6,1,2.5,2.5,4
Q02,Flash,6,1,2.5,2.5,1
Q02,DeepSeek,6,1,2.8333333333333335,3.0,2
Q02,DeepSeek,6,1,2.8333333333333335,3.0,3
Q02,DeepSeek,6,1,2.8333333333333335,3.0,4
Q02,DeepSeek,6,1,2.8333333333333335,3.0,1
Q02,Gemini,6,0,3.1666666666666665,3.5,2
Q02,Gemini,6,0,3.1666666666666665,3.5,3
Q02,Gemini,6,0,3.1666666666666665,3.5,4
Q02,Gemini,6,0,3.1666666666666665,3.5,1
Q03,Gemini,6,3,1.5,1.5,2
Q03,Gemini,6,3,1.5,1.5,3
Q03,Gemini,6,3,1.5,1.5,4
Q03,Gemini,6,3,1.5,1.5,1
Q03,DeepSeek,6,3,1.8333333333333333,1.5,2
Q03,DeepSeek,6,3,1.8333333333333333,1.5,3
Q03,DeepSeek,6,3,1.8333333333333333,1.5,4
Q03,DeepSeek,6,3,1.8333333333333333,1.5,1
Q03,Qwen,6,0,3.1666666666666665,3.0,2
Q03,Qwen,6,0,3.1666666666666665,3.0,3
Q03,Qwen,6,0,3.1666666666666665,3.0,4
Q03,Qwen,6,0,3.1666666666666665,3.0,1
Q03,Flash,6,0,3.5,3.5,2
Q03,Flash,6,0,3.5,3.5,3
Q03,Flash,6,0,3.5,3.5,4
Q03,Flash,6,0,3.5,3.5,1
Q04,Qwen,5,2,2.0,2.0,2
Q04,Qwen,5,2,2.0,2.0,3
Q04,Qwen,5,2,2.0,2.0,4
Q04,Qwen,5,2,2.0,2.0,1
Q04,DeepSeek,5,1,2.6,2.0,2
Q04,DeepSeek,5,1,2.6,2.0,3
Q04,DeepSeek,5,1,2.6,2.0,4
Q04,DeepSeek,5,1,2.6,2.0,1
Q04,Flash,5,1,2.6,3.0,2
Q04,Flash,5,1,2.6,3.0,3
Q04,Flash,5,1,2.6,3.0,4
Q04,Flash,5,1,2.6,3.0,1
Q04,Gemini,5,1,2.8,3.0,2
Q04,Gemini,5,1,2.8,3.0,3
Q04,Gemini,5,1,2.8,3.0,4
Q04,Gemini,5,1,2.8,3.0,1
Q05,Qwen,5,5,1.0,1.0,2
Q05,Qwen,5,5,1.0,1.0,3
Q05,Qwen,5,5,1.0,1.0,4
Q05,Qwen,5,5,1.0,1.0,1
Q05,Flash,5,0,2.6,2.0,2
Q05,Flash,5,0,2.6,2.0,3
Q05,Flash,5,0,2.6,2.0,4
Q05,Flash,5,0,2.6,2.0,1
Q05,Gemini,5,0,3.0,3.0,2
Q05,Gemini,5,0,3.0,3.0,3
Q05,Gemini,5,0,3.0,3.0,4
Q05,Gemini,5,0,3.0,3.0,1
Q05,DeepSeek,5,0,3.4,3.0,2
Q05,DeepSeek,5,0,3.4,3.0,3
Q05,DeepSeek,5,0,3.4,3.0,4
Q05,DeepSeek,5,0,3.4,3.0,1
Q06,Qwen,6,3,1.8333333333333333,1.5,2
Q06,Qwen,6,3,1.8333333333333333,1.5,3
Q06,Qwen,6,3,1.8333333333333333,1.5,4
Q06,Qwen,6,3,1.8333333333333333,1.5,1
Q06,Gemini,6,2,2.1666666666666665,2.0,2
Q06,Gemini,6,2,2.1666666666666665,2.0,3
Q06,Gemini,6,2,2.1666666666666665,2.0,4
Q06,Gemini,6,2,2.1666666666666665,2.0,1
Q06,DeepSeek,6,1,3.0,3.5,2
Q06,DeepSeek,6,1,3.0,3.5,3
Q06,DeepSeek,6,1,3.0,3.5,4
Q06,DeepSeek,6,1,3.0,3.5,1
Q06,Flash,6,0,3.0,3.0,2
Q06,Flash,6,0,3.0,3.0,3
Q06,Flash,6,0,3.0,3.0,4
Q06,Flash,6,0,3.0,3.0,1
Q07,Qwen,6,4,1.5,1.0,2
Q07,Qwen,6,4,1.5,1.0,3
Q07,Qwen,6,4,1.5,1.0,4
Q07,Qwen,6,4,1.5,1.0,1
Q07,DeepSeek,6,1,2.6666666666666665,2.5,2
Q07,DeepSeek,6,1,2.6666666666666665,2.5,3
Q07,DeepSeek,6,1,2.6666666666666665,2.5,4
Q07,DeepSeek,6,1,2.6666666666666665,2.5,1
Q07,Flash,6,1,2.6666666666666665,3.0,2
Q07,Flash,6,1,2.6666666666666665,3.0,3
Q07,Flash,6,1,2.6666666666666665,3.0,4
Q07,Flash,6,1,2.6666666666666665,3.0,1
Q07,Gemini,6,0,3.1666666666666665,3.5,2
Q07,Gemini,6,0,3.1666666666666665,3.5,3
Q07,Gemini,6,0,3.1666666666666665,3.5,4
Q07,Gemini,6,0,3.1666666666666665,3.5,1
Q08,Qwen,5,2,2.0,2.0,2
Q08,Qwen,5,2,2.0,2.0,3
Q08,Qwen,5,2,2.0,2.0,4
Q08,Qwen,5,2,2.0,2.0,1
Q08,Flash,5,2,2.2,2.0,2
Q08,Flash,5,2,2.2,2.0,3
Q08,Flash,5,2,2.2,2.0,4
Q08,Flash,5,2,2.2,2.0,1
Q08,Gemini,5,1,3.0,4.0,2
Q08,Gemini,5,1,3.0,4.0,3
Q08,Gemini,5,1,3.0,4.0,4
Q08,Gemini,5,1,3.0,4.0,1
Q08,DeepSeek,5,0,2.8,3.0,2
Q08,DeepSeek,5,0,2.8,3.0,3
Q08,DeepSeek,5,0,2.8,3.0,4
Q08,DeepSeek,5,0,2.8,3.0,1
